sample	id	Kreads	groundwater	medium	fraction	age	yield
P26201_1031	SA2600A-1_SRM_3	64.4	SA2600A-1	srm	unfiltered	12/2019	0
P26201_1032	a2u	158.79	SA1420A-1	ace	unfiltered	10/2021	0
P26201_1033	s2u	267.81	SA1420A-1	srm	unfiltered	10/2021	64
P26201_1034	s2f	196.53	SA1420A-1	srm	filtered	10/2021	0
P26201_1035	l2u	442.91	SA1420A-1	lys	unfiltered	10/2021	695
P26201_1036	l2f	166.02	SA1420A-1	lys	filtered	10/2021	0
P26201_1037	KR0015b_wk6	148	KR0015B	lys	unfiltered	02/2021	372
P26201_1038	KR0015b_wk8	124.56	KR0015B	lys	unfiltered	02/2021	2355
P26201_1039	chi_SA1229A-1	165.06	SA1229A-1	chi	unfiltered	12/2019	66
P26201_1040	chi_KA2511	198.53	KA2511A-1	chi	unfiltered	02/2020	0
P26201_1041	chi_KA2862	123.8	KA2862A-1	chi	unfiltered	02/2020	2925
P26201_1042	sa1420_groundwater	8.57	SA1420A-1	t0	unfiltered	NA	141
P26201_1043	kr0015_groundwater	571.52	KR0015B	t0	unfiltered	NA	77
P26201_1044	SA2600_meth1	107.45	SA2600A-1	met	unfiltered	10/2021	2485
P26201_1045	SA2600_meth2	227.28	SA2600A-1	met	unfiltered	10/2021	403
P26201_1054	l5u	160.62	SA1420A-1	lys	unfiltered	10/2021	469
P26201_1055	l5f	151.03	SA1420A-1	lys	filtered	10/2021	218
P26201_1056	s5u	29.47	SA1420A-1	srm	unfiltered	10/2021	0
P26201_1057	s5f	214.48	SA1420A-1	srm	filtered	10/2021	61
P26201_1058	KR0015b_lys1	125.38	KR0015B	lys	unfiltered	03/2022	364
P26201_1059	KR0015b_lys2	51.57	KR0015B	lys	unfiltered	03/2022	356
P26201_1060	KR0015b_lys3	179.61	KR0015B	lys	unfiltered	03/2022	448
P26201_1061	KR0015b_srm1	82.77	KR0015B	srm	unfiltered	03/2022	235
P26201_1062	KR0015b_srm2	507.47	KR0015B	srm	unfiltered	03/2022	51
P26201_1063	KR0015b_srm3	131.07	KR0015B	srm	unfiltered	03/2022	217
P26201_1064	KR0015b_cas1	85.32	KR0015B	cas	unfiltered	03/2022	245
P26201_1065	KR0015b_cas2	405.17	KR0015B	cas	unfiltered	03/2022	60
P26201_1066	KR0015b_cas3	119.15	KR0015B	cas	unfiltered	03/2022	360
P26201_1067	KR0015b_lysf1	131.44	KR0015B	lys	filtered	03/2022	0
P26201_1068	KR0015b_lysf2	329.73	KR0015B	lys	filtered	03/2022	0
P26201_1069	KR0015b_lysf3	714.49	KR0015B	lys	filtered	03/2022	157
P26201_1070	KA3511_srm1	664.64	KA3511A-1	srm	unfiltered	03/2022	0
P26201_1071	KA3511_srm2	442.46	KA3511A-1	srm	unfiltered	03/2022	145
P26201_1072	KA3511_srm3	279.19	KA3511A-1	srm	unfiltered	03/2022	0
P26201_1073	KA3511_lys1	460.18	KA3511A-1	lys	unfiltered	03/2022	0
P26201_1074	KA3511_lys2	450.45	KA3511A-1	lys	unfiltered	03/2022	0
P26201_1075	KA3511_lys3	228.53	KA3511A-1	lys	unfiltered	03/2022	0
P26201_1076	SA1420_srma	94.05	SA1420A-1	srm	unfiltered	03/2022	0
P26201_1077	SA1420_srmb	105.76	SA1420A-1	srm	unfiltered	03/2022	0
P26201_1078	SA1420_srmc	81.61	SA1420A-1	srm	unfiltered	03/2022	0
P26201_1079	SA1420_lysa	108.42	SA1420A-1	lys	unfiltered	03/2022	326
P26201_1080	SA1420_lysb	80.78	SA1420A-1	lys	unfiltered	03/2022	156
P26201_1081	SA1420_lysc	111.47	SA1420A-1	lys	unfiltered	03/2022	269
P26201_1082	SA1420_lys_filter_a	182.82	SA1420A-1	lys	filtered	03/2022	0
P26201_1083	SA1420_lys_filter_b	7.33	SA1420A-1	lys	filtered	03/2022	0
P26201_1084	SA1420_lys_filter_c	359.94	SA1420A-1	lys	filtered	03/2022	104
